"total_cost","Nclaims","age","gender","agelic","agecar","parking","tkm","nightkm","urbankm","speedkm","cost"
412,1,26.57905544,1,3.093771389,13.70568104,1,11592.912,1256.18,29.41238578,16.17440898,412
413.14,1,26.72689938,0,6.286105407,12.05201916,1,1412.842,42.247,50.18147818,2.690746736,413.14
1251.71,3,23.57563313,1,4.982888433,6.362765229,1,13294.323,1148.037,42.08541495,12.34265934,417.236666666667
421.92,1,30.63655031,1,10.54346338,9.615331964,1,5316.405,303.052,51.39115624,4.180926773,421.92
430.71,1,29.2183436,1,9.434633812,8.777549624,1,7904.995,510.449,28.99435104,9.058588905,430.71
432.72,1,23.18959617,1,4.566735113,6.110882957,1,6023.52,98.72,42.41450182,7.216129439,432.72
436.4,1,24.96646133,0,4.260095825,15.01437372,1,10406.14,417.211,23.58720909,4.571810489,436.4
437.13,1,22.65571526,0,3.260780287,3.529089665,0,11915.05,825.501,12.18051959,1.132173176,437.13
437.54,1,23.60848734,1,4.980150582,3.195071869,1,11365.179,355.692,20.07216076,15.2440098,437.54
439.33,1,24.93360712,0,4.336755647,6.943189596,1,6897.439,73.973,17.45689958,3.216048739,439.33
1338.94,3,29.9137577,1,9.240246407,13.30869268,1,20172.995,1442.37,27.43587157,16.87958085,446.313333333333
458.01,1,30.53251198,0,4.503764545,9.932922656,0,10635.184,916.453,9.397891,2.954711456,458.01
920.36,2,32.20260096,1,11.23887748,3.942505133,1,2678.884,2.098,4.846570438,25.12568667,460.18
924.91,2,24.5338809,1,5.579739904,7.362080767,1,9301.387,689.001,20.68182949,5.861201131,462.455
462.76,1,25.51403149,0,5.752224504,10.63655031,1,2635.028,52.459,14.19377707,0.948225218,462.76
466.4,1,31.59479808,1,12.30663929,6.110882957,0,11603.066,384.243,14.21533757,8.311199816,466.4
471.34,1,27.4934976,0,8.492813142,6.195756331,1,23353.965,7158.528,3.80994405,0.423217214,471.34
471.79,1,25.10335387,0,6.743326489,3.600273785,1,4865.884,45.865,21.46421904,4.063146594,471.79
951.57,2,24.44900753,1,5.371663244,6.691307324,1,7667.393,1037.375,28.61234581,2.745131233,475.785
479.79,1,25.27857632,0,4.257357974,11.37029432,1,11615.958,1149.319,19.6168409,4.472657356,479.79
1443.18,3,20.75017112,1,2.316221766,11.02806297,1,7563.86,864.637,48.54810903,14.2739157,481.06
481.94,1,23.96167009,0,3.570157426,10.52429843,0,8447.233,311.803,10.00907634,8.767024658,481.94
484.94,1,28.72826831,0,10.54346338,9.776865161,1,4392.904,262.896,22.16096687,4.389988946,484.94
488.98,1,24.38056126,1,4.829568789,7.362080767,0,7549.286,349.86,39.4427632,5.025799791,488.98
489.46,1,29.81245722,1,8.339493498,7.613963039,1,12461.112,2742.315,15.65623517,12.43808739,489.46
493.48,1,22.61190965,1,4.298425736,10.94592745,1,12930.72,312.603,24.40080676,3.397204487,493.48
